Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule (7),8.802785,21,17,1,514.5876,0
Capsule (6),1.810967,16,20,0,514.5876,0
Capsule (1),0.4365953,17,13,1,514.5876,0
Capsule (5),0.5395783,21,17,1,514.5876,0
Capsule (2),2.954226,15,22,0,514.5876,1
Capsule (4),1.351115,16,18,0,514.5876,1
Capsule (3),1.831238,21,16,1,514.5876,1
Capsule,0.8754052,12,16,0,514.5876,1
1


Capsule (2),2.400593,18,14,1,478.3138,0
Capsule (6),1.953566,14,23,0,478.3138,0
Capsule (5),2.475103,18,13,1,478.3138,0
Capsule (3),1.145544,12,18,0,478.3138,0
Capsule (4),4.340673,20,19,1,478.3138,1
Capsule (7),2.236944,17,16,1,478.3138,1
Capsule (1),2.367149,20,17,1,478.3138,1
Capsule,2.397929,18,17,1,478.3138,1
2


Capsule (2),4.72266,16,12,1,468.1635,0
Capsule (6),1.213949,20,17,1,468.1635,0
Capsule (5),12.48012,13,20,0,468.1635,0
Capsule (3),0.8662143,15,17,0,468.1635,0
Capsule (4),1.48292,25,15,1,468.1635,1
Capsule (7),10.75061,11,23,0,468.1635,1
Capsule (1),0.2291574,11,19,0,468.1635,1
Capsule,1.07329,28,16,1,468.1635,1
3


Capsule (2),3.960243,15,21,0,528.1688,0
Capsule (6),0.0060222,22,15,1,528.1688,0
Capsule (5),0.8589541,19,15,1,528.1688,0
Capsule (3),0.3459083,11,23,0,528.1688,0
Capsule (4),4.278029,20,13,1,528.1688,1
Capsule (7),0.3192635,18,19,0,528.1688,1
Capsule (1),0.4528666,11,18,0,528.1688,1
Capsule,3.259255,26,18,1,528.1688,1
4


Capsule (2),0.039884,22,17,1,474.0589,0
Capsule (6),1.416252,19,14,1,474.0589,0
Capsule (5),5.564644,16,15,1,474.0589,0
Capsule (3),1.638327,18,19,0,474.0589,0
Capsule (4),17.02406,16,18,0,474.0589,1
Capsule (7),1.630354,18,24,0,474.0589,1
Capsule (1),0.1966774,14,18,0,474.0589,1
Capsule,4.341939,16,14,1,474.0589,1
5


Capsule (2),6.042295,18,19,0,466.3412,0
Capsule (6),6.989266,16,10,1,466.3412,0
Capsule (5),0.0543615,13,18,0,466.3412,0
Capsule (3),0.0109473,8,18,0,466.3412,0
Capsule (4),5.171995,22,15,1,466.3412,1
Capsule (7),0.8128619,14,16,0,466.3412,1
Capsule (1),1.542981,16,16,1,466.3412,1
Capsule,10.72098,23,18,1,466.3412,1
6


Capsule (2),6.500173,12,15,0,431.9261,0
Capsule (6),0.0170382,10,21,0,431.9261,0
Capsule (5),0.0068344,18,15,1,431.9261,0
